,0
0,0.0
1,0.026634711363483353
2,0.0067098782215830564
3,0.0
4,0.0
5,0.0904249182877088
6,0.0
7,0.09029300712239645
8,0.01810756912765356
9,0.01972075782652631
10,0.0
11,0.11969595085894107
12,0.0
13,0.0
14,0.0
15,0.025547149203668268
16,0.007290278483848605
17,0.008754416773183046
18,0.0
19,0.021241682083179867
20,0.018319793852436518
21,0.010340405895557394
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0327278760053207
28,0.0
29,0.0
30,0.03548069724187199
31,0.0
32,0.030578914113813846
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.05439061861111965
42,0.0
43,0.0
44,0.039642618670045295
45,0.0
46,0.0
47,0.0
48,0.0363454938237426
49,0.0
50,0.0
51,0.0
52,0.0
53,0.01484085440321128
54,0.0
55,0.0
56,0.0
57,0.0
58,0.011361006166353042
59,0.0
60,0.0
61,0.0
62,0.012313883613993487
63,0.11798153807160097
64,0.0
65,0.0
66,0.0
67,0.0
68,0.025244550150089893
69,0.006894296198345097
70,0.0
71,0.02077101754501666
72,0.0
73,0.0
74,0.03567398113918063
75,0.0
76,0.0
77,0.007861052569693957
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.04042029253662441
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.014390790039810399
