,0
0,0.005096522244230934
1,0.017959775891158592
2,0.002518999393325239
3,0.0
4,0.0
5,0.08668161556848755
6,0.0
7,0.09574442067697381
8,0.014622536619525965
9,0.0
10,0.0
11,0.10414557698937077
12,0.0
13,0.0
14,0.0035280371556397454
15,0.016639778668739405
16,0.005194777143208443
17,0.006879137247893775
18,0.0
19,0.009633592032569931
20,0.014920080704591521
21,0.0
22,0.0
23,0.0
24,0.010295405496127582
25,0.0
26,0.0
27,0.02790340236430118
28,0.0
29,0.0033457954754059823
30,0.02352599847641745
31,0.0
32,0.01238660891479641
33,0.007569491592697469
34,0.0014527455959983482
35,0.0
36,0.0064765037630846725
37,0.006693835900291404
38,0.00519177094701651
39,0.006724753936495311
40,0.0034154407243358687
41,0.04993048648665298
42,0.002259552760965144
43,0.004939642493845018
44,0.016018852334184392
45,0.0
46,0.006862648219094811
47,0.0
48,0.03159699551921649
49,0.008264075859233815
50,0.011201071409175103
51,0.0
52,0.0091331454596374
53,0.0063254327064575415
54,0.0
55,0.0
56,0.0026589610266676443
57,0.00021452207586207642
58,0.008310068350523258
59,0.018887470085046234
60,0.0025503442776451295
61,0.0032430740591817032
62,0.008735190688352547
63,0.1034984483587058
64,0.0015097502441549467
65,0.01880526913349173
66,0.0027241497501450662
67,0.004977436059211501
68,0.01683496084255275
69,0.008169729978060047
70,0.0
71,0.005310557774459288
72,0.007381378143003339
73,0.0016360872713840307
74,0.021250558133867323
75,0.0
76,0.0
77,0.011625916204009505
78,0.00827632621824162
79,0.002090285425689743
80,0.0
81,0.007023163407233802
82,0.0
83,0.0
84,0.008180079824422886
85,0.007576668207326135
86,0.009368167306427143
87,0.0
88,0.007342740907085608
89,0.00936352444498649
90,0.0007327925152940781
91,0.005304862827443208
92,0.006060606293220718
93,0.011721514735172902
94,0.007030291694021631
95,0.008071367268627054
96,0.0016158950280554763
97,0.0
98,0.0
99,0.006839334669280563
