,0
0,0.005556253636941979
1,0.015696408398605553
2,0.0027231144202422394
3,0.00033444063430940635
4,0.0
5,0.037334609043705454
6,0.0473072024740931
7,0.09695435790895375
8,0.011585110218958533
9,0.0003925245639657188
10,0.0
11,0.10183202924954199
12,0.009280534177771351
13,0.0
14,0.004113231852855701
15,0.019597549218321835
16,0.004704664257899435
17,0.006641868735862489
18,0.005507020942561689
19,0.011468325607648051
20,0.015284607866418439
21,2.2013219835442316e-06
22,0.0
23,0.0
24,0.011132754131426245
25,0.0
26,0.004092611069416766
27,0.027226731387262133
28,0.003946627047557464
29,0.003279709157270833
30,0.024728305938403215
31,0.0
32,0.016403741569703235
33,0.012182242093539996
34,0.00039212611507183896
35,0.0004015350239535857
36,0.0060391269986181505
37,0.01134456969944945
38,0.0031978898385250994
39,0.007611940273095391
40,0.001123069081648769
41,0.048240343054066714
42,0.0025548937823046216
43,0.0003799582121750519
44,0.012049694437232765
45,0.0008854998880656087
46,0.007129845735486681
47,0.0020413454872784315
48,0.028827227677265057
49,0.007102361616844584
50,0.01104018457182419
51,0.004044738184860854
52,0.003630214857348832
53,0.004703979335610447
54,0.0
55,0.0
56,0.0025107615763490915
57,0.002056629919857355
58,0.013357189666229166
59,0.007417280626860009
60,0.0025961532336598965
61,0.006075448063470447
62,0.004676250591892428
63,0.10220544844450659
64,2.1699842271704232e-05
65,0.020708354217020445
66,0.0018266082743959217
67,0.002071225171494583
68,0.01781140071060188
69,0.01283366842024293
70,0.0047094132384509
71,0.007298598301355802
72,0.0
73,0.0037779434621662946
74,0.018106617919449734
75,0.011238544197959534
76,0.0
77,0.01018011677562683
78,0.009449512090187429
79,0.0
80,0.0
81,0.010252798810849234
82,0.0
83,0.0
84,0.004601854500998327
85,0.004237431430130941
86,0.010430868703888947
87,0.0
88,0.007992245275336108
89,0.01450810378433917
90,0.0
91,0.0037024913881661945
92,0.007908232134889089
93,0.0020285468502591578
94,0.004662218602584023
95,0.0
96,0.002311051909527783
97,0.0
98,0.0
99,0.004385971069035978
